Designator,Mid X,Mid Y,Rotation,Layer
BTN_VOL_DOWN1,141.3,-101.0,90.0,top
BTN_VOL_UP1,141.3,-97.0,90.0,top
D1,139.0,-107.0,0.0,top
PAD_5V_L1,138.5,-82.0,0.0,top
PAD_D0_LEFT1,143.5,-86.0,0.0,top
PAD_GND_L1,143.5,-82.0,0.0,top
PAD_VOL_DOWN1,138.5,-90.0,0.0,top
PAD_VOL_UP1,138.5,-86.0,0.0,top
Q1,143.4375,-105.05,0.0,top
R1,143.675,-108.0,180.0,top
VIB_LEFT1,143.0,-91.23,180.0,top
